"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","04/02/2566 13:50","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","04/02/2566 13:55","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","04/02/2566 14:00","0.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","04/02/2566 14:05","0.5","2.5","3.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","04/02/2566 14:25","0.5","0.5","1.5","3.5","3.5","3.5","3.5","3.5","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:00","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:05","4.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:10","3.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:15","2.5","9.5","10.5","10.5","10.5","10.5","10.5","10.5","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:20","0.5","6.0","11.0","11.0","11.0","11.0","11.0","11.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:25","1.0","4.0","12.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:30","1.5","3.0","12.5","13.5","13.5","13.5","13.5","13.5","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:35","0.5","3.0","9.0","14.0","14.0","14.0","14.0","14.0","ดูข้อมูล"
"RF.BSU.03","บางซื่อ","ส.คลองบางซื่อ","05/02/2566 15:40","0.5","2.5","6.5","14.5","14.5","14.5","14.5","14.5","ดูข้อมูล"
