"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 00:40","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 00:45","0.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 00:50","1.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 00:55","2.5","4.0","5.5","5.5","5.5","5.5","5.5","5.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:00","4.5","8.0","10.0","10.0","10.0","10.0","10.0","10.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:05","3.5","10.5","13.5","13.5","13.5","13.5","13.5","13.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:10","2.5","10.5","14.5","16.0","16.0","16.0","16.0","16.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:15","2.0","8.0","16.0","18.0","18.0","18.0","18.0","18.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:20","0.5","5.0","15.5","18.5","18.5","18.5","18.5","18.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:25","0.5","3.0","13.5","19.0","19.0","19.0","19.0","19.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 01:30","0.5","1.5","9.5","19.5","19.5","19.5","19.5","19.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","02/10/2565 02:30","0.5","0.5","0.5","0.5","20.0","20.0","20.0","20.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 14:45","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 14:50","3.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 14:55","1.0","5.5","5.5","5.5","5.5","5.5","5.5","5.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 15:00","0.5","5.0","6.0","6.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 15:05","1.0","2.5","7.0","7.0","7.0","7.0","7.0","7.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 15:15","0.5","1.5","6.5","7.5","7.5","7.5","7.5","7.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 15:25","0.5","1.0","2.5","8.0","8.0","8.0","8.0","8.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 15:45","0.5","0.5","1.0","7.5","8.5","8.5","8.5","8.5","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 15:55","0.5","1.0","1.0","3.5","9.0","9.0","9.0","9.0","ดูข้อมูล"
"RF.LKB.02","ลาดกระบัง","ค.ประเวศฯ-รพ.ลาดกระบัง","03/10/2565 16:25","0.5","0.5","0.5","1.5","9.5","9.5","9.5","9.5","ดูข้อมูล"
