"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 18:30","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 18:35","5.5","6.0","6.0","6.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 18:40","6.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 18:45","3.0","14.5","15.0","15.0","15.0","15.0","15.0","15.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 18:50","0.5","9.5","15.5","15.5","15.5","15.5","15.5","15.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 18:55","6.5","10.0","22.0","22.0","22.0","22.0","22.0","22.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:00","7.5","14.5","29.0","29.5","29.5","29.5","29.5","29.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:05","8.5","22.5","32.0","38.0","38.0","38.0","38.0","38.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:10","6.0","22.0","32.0","44.0","44.0","44.0","44.0","44.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:15","4.5","19.0","33.5","48.5","48.5","48.5","48.5","48.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:20","3.0","13.5","36.0","51.5","51.5","51.5","51.5","51.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:25","2.0","9.5","31.5","53.5","53.5","53.5","53.5","53.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:30","1.5","6.5","25.5","54.5","55.0","55.0","55.0","55.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:35","1.0","4.5","18.0","50.0","56.0","56.0","56.0","56.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/07/2565 19:40","0.5","3.0","12.5","44.5","56.5","56.5","56.5","56.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:00","1.5","1.5","1.5","1.5","1.5","1.5","1.5","3.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:05","0.5","2.0","2.0","2.0","2.0","2.0","2.0","4.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:10","0.5","2.5","2.5","2.5","2.5","2.5","2.5","4.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:20","1.5","2.0","4.0","4.0","4.0","4.0","4.0","6.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:25","5.0","6.5","9.0","9.0","9.0","9.0","9.0","11.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:30","8.0","14.5","15.5","17.0","17.0","17.0","17.0","19.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:35","8.0","21.0","23.0","25.0","25.0","25.0","25.0","27.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:40","1.5","17.5","24.0","26.5","26.5","26.5","26.5","28.5","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:45","5.5","15.0","29.5","32.0","32.0","32.0","32.0","34.0","ดูข้อมูล"
"RF.DST.01","ดุสิต","สนข.ดุสิต","01/08/2565 11:50","3.0","10.0","31.0","35.0","35.0","35.0","35.0","37.0","ดูข้อมูล"
