"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 04:55","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 06:30","0.5","0.5","0.5","0.5","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 07:20","0.5","0.5","0.5","1.0","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 07:25","0.5","1.0","1.0","1.5","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 07:40","0.5","0.5","1.5","1.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 07:50","0.5","1.0","1.5","2.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 08:20","0.5","0.5","0.5","2.0","3.0","3.5","3.5","3.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 08:40","0.5","0.5","1.0","1.5","3.5","4.0","4.0","4.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/05/2564 09:45","0.5","0.5","0.5","0.5","3.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 02:45","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 02:55","0.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 03:10","0.5","0.5","3.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 03:15","1.0","1.5","2.0","4.0","4.0","4.0","4.0","4.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 03:20","1.0","2.5","3.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 03:25","2.0","4.0","4.5","7.0","7.0","7.0","7.0","7.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 03:30","1.0","4.0","5.5","8.0","8.0","8.0","8.0","8.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/06/2564 03:35","0.5","3.5","6.0","8.5","8.5","8.5","8.5","8.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/07/2564 23:20","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/07/2564 23:25","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/07/2564 23:50","1.0","1.0","2.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/07/2564 23:55","0.5","1.5","1.5","3.5","3.5","3.5","3.5","3.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","01/11/2564 16:45","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:10","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:15","3.0","4.5","4.5","4.5","4.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:20","3.5","8.0","8.0","8.0","8.0","8.0","8.0","8.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:25","2.0","8.5","10.0","10.0","10.0","10.0","10.0","10.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:30","1.5","7.0","11.5","11.5","11.5","11.5","11.5","11.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:35","1.0","4.5","12.5","12.5","12.5","12.5","12.5","12.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/05/2564 18:40","0.5","3.0","11.5","13.0","13.0","13.0","13.0","13.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/07/2564 18:40","1.0","1.0","1.0","1.0","1.0","1.0","1.0","4.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/08/2564 19:00","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/08/2564 19:20","0.5","0.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/11/2564 19:10","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","02/11/2564 19:15","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/03/2564 20:55","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/03/2564 21:00","6.0","6.5","6.5","6.5","6.5","6.5","6.5","6.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/03/2564 21:05","5.0","11.5","11.5","11.5","11.5","11.5","11.5","11.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/03/2564 21:10","3.0","14.0","14.5","14.5","14.5","14.5","14.5","14.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/03/2564 21:15","2.5","10.5","17.0","17.0","17.0","17.0","17.0","17.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/08/2564 15:40","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/10/2564 21:20","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/10/2564 21:25","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/10/2564 21:30","0.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/10/2564 21:35","0.5","1.5","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/10/2564 22:10","0.5","0.5","0.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:15","2.5","2.5","2.5","2.5","2.5","2.5","2.5","3.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:20","4.5","7.0","7.0","7.0","7.0","7.0","7.0","8.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:25","3.0","10.0","10.0","10.0","10.0","10.0","10.0","11.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:30","1.0","8.5","11.0","11.0","11.0","11.0","11.0","12.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:35","1.5","5.5","12.5","12.5","12.5","12.5","12.5","13.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:40","2.0","4.5","14.5","14.5","14.5","14.5","14.5","15.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","03/11/2564 16:50","0.5","2.5","8.0","15.0","15.0","15.0","15.0","16.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/04/2564 12:40","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/04/2564 12:45","4.0","6.0","6.0","6.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/04/2564 12:50","4.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/04/2564 12:55","1.0","9.5","11.5","11.5","11.5","11.5","11.5","11.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/04/2564 13:05","0.5","1.5","12.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/04/2564 13:40","0.5","0.5","0.5","10.5","12.5","12.5","12.5","12.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/05/2564 15:30","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/05/2564 15:35","1.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/05/2564 15:40","1.0","3.5","3.5","3.5","3.5","3.5","3.5","3.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/05/2564 15:45","1.0","3.5","4.5","4.5","4.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/05/2564 15:50","0.5","2.5","5.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/05/2564 20:35","0.5","0.5","0.5","0.5","0.5","5.5","5.5","5.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 16:35","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 16:40","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 16:55","0.5","0.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 17:05","0.5","1.0","1.5","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 17:50","0.5","0.5","0.5","1.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 18:10","0.5","0.5","1.0","1.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 18:30","0.5","0.5","1.0","1.5","3.5","3.5","3.5","3.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 18:35","0.5","1.0","1.5","2.0","4.0","4.0","4.0","4.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 18:40","0.5","1.5","1.5","2.5","4.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 18:45","0.5","1.5","2.0","3.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 19:00","0.5","0.5","2.0","3.0","5.5","5.5","5.5","5.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 19:15","0.5","0.5","1.0","3.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 19:30","0.5","0.5","1.0","3.0","6.5","6.5","6.5","6.5","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 19:35","0.5","1.0","1.5","3.0","6.5","7.0","7.0","7.0","ดูข้อมูล"
"RF.LKB.03","ลาดกระบัง","ปตร.คลองประเวศฯ-ลาดกระบัง","04/09/2564 19:40","0.5","1.5","2.0","3.0","6.5","7.5","7.5","7.5","ดูข้อมูล"
