"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","01/10/2565 23:20","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","01/10/2565 23:25","4.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","01/10/2565 23:30","4.0","10.5","10.5","10.5","10.5","10.5","10.5","10.5","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","01/10/2565 23:35","1.5","10.0","12.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","01/10/2565 23:40","1.0","6.5","13.0","13.0","13.0","13.0","13.0","13.0","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","01/10/2565 23:45","0.5","3.0","13.5","13.5","13.5","13.5","13.5","13.5","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","02/10/2565 00:25","0.5","0.5","0.5","7.5","14.0","14.0","14.0","14.0","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","02/10/2565 18:20","0.5","0.5","0.5","0.5","0.5","0.5","0.5","14.5","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","02/10/2565 18:25","1.0","1.5","1.5","1.5","1.5","1.5","1.5","15.5","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","02/10/2565 18:30","1.5","3.0","3.0","3.0","3.0","3.0","3.0","17.0","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","02/10/2565 18:35","1.0","3.5","4.0","4.0","4.0","4.0","4.0","18.0","ดูข้อมูล"
"RF.BKL.01","บางคอแหลม","สนข.บางคอแหลม","02/10/2565 18:45","0.5","1.5","4.5","4.5","4.5","4.5","4.5","18.5","ดูข้อมูล"
