"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:05","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:10","2.0","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:15","4.0","6.5","6.5","6.5","6.5","6.5","6.5","6.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:20","0.5","6.5","7.0","7.0","7.0","7.0","7.0","7.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:25","2.0","6.5","9.0","9.0","9.0","9.0","9.0","9.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:30","2.5","5.0","11.5","11.5","11.5","11.5","11.5","11.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","02/12/2565 02:35","1.5","6.0","12.5","13.0","13.0","13.0","13.0","13.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","13/11/2565 22:55","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","13/11/2565 23:00","0.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","13/11/2565 23:05","0.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","13/11/2565 23:10","1.0","2.0","3.5","3.5","3.5","3.5","3.5","3.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","14/11/2565 15:40","0.5","0.5","0.5","0.5","0.5","0.5","0.5","4.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","14/11/2565 15:50","0.5","1.0","1.0","1.0","1.0","1.0","1.0","4.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","14/11/2565 16:50","0.5","0.5","0.5","0.5","1.5","1.5","1.5","5.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","14/11/2565 18:25","1.5","1.5","1.5","1.5","3.0","3.0","3.0","6.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 08:30","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 08:35","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 08:40","0.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 08:45","0.5","2.0","3.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 08:55","0.5","1.0","3.5","3.5","3.5","3.5","3.5","3.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:00","1.0","1.5","3.5","4.5","4.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:05","0.5","2.0","3.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:10","2.0","3.5","4.5","7.0","7.0","7.0","7.0","7.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:15","5.0","7.5","9.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:20","2.5","9.5","11.5","14.5","14.5","14.5","14.5","14.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:25","1.0","8.5","12.0","15.5","15.5","15.5","15.5","15.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 09:35","0.5","1.5","11.0","14.0","16.0","16.0","16.0","16.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 10:00","0.5","0.5","1.0","12.0","16.5","16.5","16.5","16.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 10:15","0.5","0.5","1.0","5.0","17.0","17.0","17.0","17.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 10:30","0.5","0.5","1.0","2.0","17.5","17.5","17.5","17.5","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 10:40","0.5","1.0","1.5","2.0","18.0","18.0","18.0","18.0","ดูข้อมูล"
"RF.BKE.02","บางแค","จุดวัด ค.ภาษีฯ-ราชมนตรี","15/02/2566 10:50","0.5","1.0","1.5","2.5","18.5","18.5","18.5","18.5","ดูข้อมูล"
