"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:10","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:15","2.0","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:20","3.5","6.0","6.0","6.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:25","3.0","8.5","9.0","9.0","9.0","9.0","9.0","9.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:30","5.0","11.5","14.0","14.0","14.0","14.0","14.0","14.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:35","3.5","11.5","17.5","17.5","17.5","17.5","17.5","17.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:40","3.0","11.5","20.0","20.5","20.5","20.5","20.5","20.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:45","2.5","9.0","20.5","23.0","23.0","23.0","23.0","23.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:50","3.5","9.0","20.5","26.5","26.5","26.5","26.5","26.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 00:55","3.0","9.0","20.5","29.5","29.5","29.5","29.5","29.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/10/2565 08:40","0.5","0.5","0.5","0.5","0.5","0.5","30.0","30.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","02/12/2565 01:15","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 13:25","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 13:30","2.0","2.5","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 13:35","2.5","5.0","5.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 13:40","0.5","5.0","5.5","5.5","5.5","5.5","5.5","5.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:00","1.5","1.5","4.5","7.0","7.0","7.0","7.0","7.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:05","3.0","4.5","5.0","10.0","10.0","10.0","10.0","10.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:10","2.0","6.5","6.5","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:15","2.0","7.0","8.5","14.0","14.0","14.0","14.0","14.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:20","3.5","7.5","12.0","17.5","17.5","17.5","17.5","17.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:25","5.5","11.0","17.5","22.5","23.0","23.0","23.0","23.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:30","5.0","14.0","21.0","25.5","28.0","28.0","28.0","28.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:35","2.5","13.0","20.5","25.5","30.5","30.5","30.5","30.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:40","0.5","8.0","19.0","25.5","31.0","31.0","31.0","31.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:45","0.5","3.5","17.5","26.0","31.5","31.5","31.5","31.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 14:55","0.5","1.0","9.0","26.5","32.0","32.0","32.0","32.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 15:10","0.5","0.5","1.5","20.5","32.5","32.5","32.5","32.5","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 15:20","1.5","2.0","2.5","16.5","34.0","34.0","34.0","34.0","ดูข้อมูล"
"RF.PWT.03","ประเวศ","จุดวัดบึงหนองบอน","03/10/2565 15:25","4.0","5.5","6.0","15.0","38.0","38.0","38.0","38.0","ดูข้อมูล"
