"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:20","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:25","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:30","2.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:35","4.5","8.5","9.0","9.0","9.0","9.0","9.0","9.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:40","2.0","9.0","11.0","11.0","11.0","11.0","11.0","11.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:45","0.5","7.0","11.5","11.5","11.5","11.5","11.5","11.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","01/10/2565 23:50","0.5","3.0","11.5","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 00:00","0.5","1.0","8.0","12.5","12.5","12.5","12.5","12.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 17:40","0.5","0.5","0.5","0.5","0.5","0.5","0.5","13.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 17:45","1.0","1.5","1.5","1.5","1.5","1.5","1.5","14.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 17:50","1.5","3.0","3.0","3.0","3.0","3.0","3.0","15.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 17:55","1.0","3.5","4.0","4.0","4.0","4.0","4.0","16.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:00","0.5","3.0","4.5","4.5","4.5","4.5","4.5","17.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:05","2.5","4.0","7.0","7.0","7.0","7.0","7.0","19.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:10","3.5","6.5","10.0","10.5","10.5","10.5","10.5","23.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:15","2.5","8.5","11.5","13.0","13.0","13.0","13.0","25.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:20","2.5","8.5","12.5","15.5","15.5","15.5","15.5","28.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:25","1.0","6.0","12.5","16.5","16.5","16.5","16.5","29.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:30","4.0","7.5","16.0","20.5","20.5","20.5","20.5","33.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:35","4.0","9.0","17.5","24.5","24.5","24.5","24.5","37.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:40","6.0","14.0","20.0","30.0","30.5","30.5","30.5","43.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:45","4.5","14.5","22.0","33.5","35.0","35.0","35.0","47.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:50","4.0","14.5","23.5","36.0","39.0","39.0","39.0","51.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 18:55","3.0","11.5","25.5","38.0","42.0","42.0","42.0","54.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 19:00","1.0","8.0","22.5","38.5","43.0","43.0","43.0","55.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 19:05","0.5","4.5","19.0","36.5","43.5","43.5","43.5","56.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/10/2565 19:10","1.0","2.5","14.0","34.0","44.5","44.5","44.5","57.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/12/2565 01:50","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/12/2565 01:55","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/12/2565 02:00","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/12/2565 02:05","2.0","4.5","5.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","02/12/2565 02:10","1.0","5.0","6.0","6.0","6.0","6.0","6.0","6.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 13:55","0.5","0.5","0.5","0.5","0.5","0.5","0.5","45.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:05","2.5","3.0","3.0","3.0","3.0","3.0","3.0","47.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:10","3.0","5.5","6.0","6.0","6.0","6.0","6.0","50.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:15","1.5","7.0","7.5","7.5","7.5","7.5","7.5","52.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:20","0.5","5.0","8.0","8.0","8.0","8.0","8.0","52.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:25","0.5","2.5","8.0","8.5","8.5","8.5","8.5","53.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:35","3.5","4.0","9.0","12.0","12.0","12.0","12.0","56.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:40","2.5","6.0","8.5","14.5","14.5","14.5","14.5","59.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:45","3.0","9.0","10.0","17.5","17.5","17.5","17.5","62.0","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:50","1.5","7.0","11.0","19.0","19.0","19.0","19.0","63.5","ดูข้อมูล"
"RF.PNK.03","พระนคร","ปากคลองตลาด","03/10/2565 14:55","2.0","6.5","12.5","20.5","21.0","21.0","21.0","65.5","ดูข้อมูล"
