"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 02:40","0.5","0.5","0.5","0.5","0.5","0.5","2.5","2.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 03:40","0.5","0.5","0.5","0.5","1.0","1.0","1.0","3.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 03:55","0.5","0.5","1.0","1.0","1.5","1.5","1.5","3.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:05","0.5","1.0","1.5","1.5","2.0","2.0","2.0","4.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:10","0.5","1.0","1.5","2.0","2.5","2.5","2.5","4.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:25","0.5","0.5","1.5","2.5","3.0","3.0","3.0","5.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:35","0.5","1.0","1.5","3.0","3.5","3.5","3.5","5.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:40","0.5","1.0","1.5","3.0","4.0","4.0","4.0","6.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:50","0.5","1.0","2.0","3.5","4.5","4.5","4.5","6.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 04:55","0.5","1.0","2.0","3.5","5.0","5.0","5.0","7.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 05:05","1.0","1.5","2.5","4.0","6.0","6.0","6.0","8.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 05:15","0.5","1.5","2.5","4.0","6.5","6.5","6.5","8.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 05:25","0.5","1.0","2.0","4.0","7.0","7.0","7.0","9.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 05:40","0.5","0.5","1.5","3.5","7.0","7.5","7.5","9.5","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 05:55","0.5","0.5","1.0","3.0","7.5","8.0","8.0","10.0","ดูข้อมูล"
"RF.DDG.02","ดินแดง","ศูนย์ฯ (ดินแดง)","01/05/2564 06:05","0.5","1.0","1.5","2.5","8.0","8.5","8.5","10.5","ดูข้อมูล"
