"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 18:30","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 18:35","7.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 18:40","5.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 18:45","8.0","20.0","22.0","22.0","22.0","22.0","22.0","22.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 18:50","6.5","19.5","28.5","28.5","28.5","28.5","28.5","28.5","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 18:55","4.0","18.5","32.5","32.5","32.5","32.5","32.5","32.5","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:00","7.5","18.0","38.0","40.0","40.0","40.0","40.0","40.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:05","7.5","19.0","38.5","47.5","47.5","47.5","47.5","47.5","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:10","9.5","24.5","43.0","57.0","57.0","57.0","57.0","57.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:15","4.0","21.0","39.0","61.0","61.0","61.0","61.0","61.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:20","1.5","15.0","34.0","62.5","62.5","62.5","62.5","62.5","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:25","0.5","6.0","30.5","63.0","63.0","63.0","63.0","63.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:35","0.5","1.0","16.0","54.5","63.5","63.5","63.5","63.5","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/07/2565 19:45","0.5","1.0","3.0","42.0","64.0","64.0","64.0","64.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/08/2565 11:05","2.5","2.5","2.5","2.5","2.5","2.5","2.5","4.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/08/2565 11:10","3.0","5.5","5.5","5.5","5.5","5.5","5.5","7.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/08/2565 11:15","7.0","12.5","12.5","12.5","12.5","12.5","12.5","14.0","ดูข้อมูล"
"RF.RTW.01","ราชเทวี","สนข.ราชเทวี","01/08/2565 11:20","10.0","20.0","22.5","22.5","22.5","22.5","22.5","24.0","ดูข้อมูล"
