"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 14:45","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:20","4.5","4.5","4.5","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:25","3.0","7.5","7.5","8.0","8.0","8.0","8.0","8.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:30","5.5","13.0","13.0","13.5","13.5","13.5","13.5","13.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:35","5.5","14.0","18.5","19.0","19.0","19.0","19.0","19.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:40","7.5","18.5","26.0","26.5","26.5","26.5","26.5","26.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:45","6.0","19.0","32.0","32.0","32.5","32.5","32.5","32.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:50","4.0","17.5","31.5","36.0","36.5","36.5","36.5","36.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 15:55","2.5","12.5","31.0","38.5","39.0","39.0","39.0","39.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 16:00","1.0","7.5","26.5","39.5","40.0","40.0","40.0","40.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 16:05","0.5","4.0","21.5","40.0","40.5","40.5","40.5","40.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","05/02/2566 16:15","0.5","1.0","8.5","40.5","41.0","41.0","41.0","41.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","12/01/2566 12:50","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 07:40","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 07:45","3.5","5.0","5.0","5.0","5.0","5.0","5.0","5.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 07:50","2.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 07:55","0.5","6.5","8.0","8.0","8.0","8.0","8.0","8.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:00","0.5","3.5","8.5","8.5","8.5","8.5","8.5","8.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:10","1.0","1.5","8.0","9.5","9.5","9.5","9.5","9.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:15","2.5","3.5","7.0","12.0","12.0","12.0","12.0","12.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:20","3.5","7.0","8.0","15.5","15.5","15.5","15.5","15.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:25","1.5","7.5","9.0","17.0","17.0","17.0","17.0","17.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:30","1.5","6.5","10.0","18.5","18.5","18.5","18.5","18.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:35","3.0","6.0","13.0","21.5","21.5","21.5","21.5","21.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:40","1.5","6.0","13.5","21.5","23.0","23.0","23.0","23.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:45","0.5","5.0","11.5","18.5","23.5","23.5","23.5","23.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:50","1.5","3.5","9.5","17.5","25.0","25.0","25.0","25.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 08:55","1.0","3.0","9.0","18.0","26.0","26.0","26.0","26.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 09:00","1.5","4.0","9.0","19.0","27.5","27.5","27.5","27.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 09:05","0.5","3.0","6.5","19.5","28.0","28.0","28.0","28.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 09:10","1.0","3.0","6.0","19.5","29.0","29.0","29.0","29.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 09:15","0.5","2.0","6.0","17.5","29.5","29.5","29.5","29.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 09:30","0.5","0.5","2.5","11.5","30.0","30.0","30.0","30.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 09:50","0.5","0.5","1.0","5.5","30.5","30.5","30.5","30.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 10:15","1.0","1.0","1.5","2.0","31.5","31.5","31.5","31.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 10:25","0.5","1.5","1.5","2.5","32.0","32.0","32.0","32.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 10:35","0.5","1.0","2.0","2.5","32.5","32.5","32.5","32.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 10:45","0.5","1.0","1.5","3.0","28.0","33.0","33.0","33.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 10:55","0.5","1.0","1.5","3.0","25.5","33.5","33.5","33.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 11:00","0.5","1.0","2.0","3.5","25.5","34.0","34.0","34.0","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 11:25","0.5","0.5","1.0","2.5","17.5","34.5","34.5","34.5","ดูข้อมูล"
"RF.WTL.02","วังทองหลาง","ปตร.คลองลาดพร้าว","15/02/2566 11:45","0.5","0.5","1.0","2.0","11.5","35.0","35.0","35.0","ดูข้อมูล"
