"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 02:55","0.5","0.5","0.5","0.5","0.5","0.5","0.5","7.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 03:35","0.5","0.5","0.5","1.0","1.0","1.0","1.0","7.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 03:40","0.5","1.0","1.0","1.5","1.5","1.5","1.5","8.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 04:10","0.5","0.5","0.5","1.5","2.0","2.0","2.0","8.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 04:35","0.5","0.5","1.0","1.5","2.5","2.5","2.5","9.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 04:55","0.5","0.5","1.0","1.5","3.0","3.0","3.0","9.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 05:10","0.5","0.5","1.0","1.5","3.5","3.5","3.5","10.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 05:30","0.5","0.5","1.0","2.0","4.0","4.0","4.0","10.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 05:55","0.5","0.5","1.0","1.5","4.0","4.5","4.5","11.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 06:25","0.5","0.5","0.5","1.5","4.5","5.0","5.0","11.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 06:45","0.5","0.5","1.0","1.5","4.0","5.5","5.5","12.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/05/2564 07:55","0.5","0.5","0.5","0.5","3.0","6.0","6.0","12.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/07/2564 22:15","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/07/2564 22:30","0.5","0.5","1.0","1.0","1.0","1.0","1.0","1.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/07/2564 22:35","1.0","1.5","2.0","2.0","2.0","2.0","2.0","2.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/07/2564 22:40","0.5","2.0","2.5","2.5","2.5","2.5","2.5","2.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/07/2564 23:05","0.5","0.5","1.0","3.0","3.0","3.0","3.0","3.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 00:05","0.5","0.5","0.5","0.5","2.5","2.5","2.5","4.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 00:20","0.5","0.5","1.0","1.0","2.0","3.0","3.0","4.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 00:55","0.5","0.5","0.5","1.5","1.5","3.5","3.5","5.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 01:35","0.5","0.5","0.5","1.0","2.0","4.0","4.0","5.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 10:55","0.5","0.5","0.5","0.5","0.5","0.5","2.5","4.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:20","2.5","2.5","2.5","2.5","2.5","3.0","3.0","7.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:25","7.0","9.5","9.5","9.5","9.5","10.0","10.0","14.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:30","10.0","19.5","19.5","19.5","19.5","20.0","20.0","24.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:35","9.5","26.5","29.0","29.0","29.0","29.5","29.5","33.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:40","4.5","24.0","33.5","33.5","33.5","34.0","34.0","38.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:45","1.5","15.5","35.0","35.0","35.0","35.5","35.5","39.5","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 14:55","0.5","2.0","26.0","35.5","35.5","36.0","36.0","40.0","ดูข้อมูล"
"RF.TWW.01","ทวีวัฒนา","สนข.ทวีวัฒนา","01/09/2564 15:00","2.5","3.0","18.5","38.0","38.0","38.5","38.5","42.5","ดูข้อมูล"
